"star","title","author","date","info_2","info_3","product","date_scraped","verfied","days_to_review","star_rating"
"5.0 out of 5 stars","Great buy","Howard Bailey","12-7-2017","Package Quantity: 1|Verified Purchase","Works great, highly recommend.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Great","Amazon Customer","7-2-2017","Package Quantity: 1|Verified Purchase","Nice, easy install, works.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Greg Moe","5-9-2016","Package Quantity: 1|Verified Purchase","Great product!!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Quality low cost programmable thermostat","Philip H. Ness","1-3-2014","Package Quantity: 1|Verified Purchase","I replaced a non programmable thermostat for our heating/cooling system with this unit.  A single program for all seven days works well for us because we are retired.  Installation was easy and instructions are good.  It took me about 20 minutes to remove the old thermostat, install this one, program it, and test it for both heat and AC.  It also cost less than at the big box stores.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Easy Fast Install","HTS","1-27-2017","Package Quantity: 1|Verified Purchase","I used this with a coal furnace.  I was replacing an old mercury thermostat and it was a fast replacement.  No problems for me and I think it would be as easy to install on any furnace.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","good price","Debbie W.","1-26-2018","Package Quantity: 1|Verified Purchase","Make sure you know what your doing with the wires","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","It works, but be aware.","jp","2-20-2014","Package Quantity: 1|Verified Purchase","Be aware this model is called 1-week programmable, but it uses the same settings for week day and weekend!  You can't set a different program for each of the days either.  You will need the more expensive version to do that.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Does the job!","Just my opinion.","3-9-2015","Package Quantity: 1|Verified Purchase","It works well as it was supposed to.  It's as programmable as we needed.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"3.0 out of 5 stars","cant adjust the temp variance. ie to 2* before ...","Amazon Customer","1-16-2018","Package Quantity: 1|Verified Purchase","cant adjust the temp variance. ie to 2* before the furnace kicks in. a 1* variance makes the furnace kick in way too much.","Honeywell_RTH221B1021","2018-01-31","yes",NA,3
"4.0 out of 5 stars","Good Value, Poor Documentation","GLS","1-19-2017","Package Quantity: 1|Verified Purchase","I replaced an old Honeywell mechanical thermostat with this Honeywell RTH221B1021/A 1 Week Programmable Thermostat. (I mention the exact model here because these reviews appear to include reviews for various other models, a practice I feel defeats the purpose of a review). The thermostat seems to be well enough constructed and functions as advertised, that is, is programmable for a single day in four selectable time periods and that day is replicated identically for each day of the 7 day week, or each day of the 365 day year, if you like. I agree with some who take exception to the description ""1 week programmable"". It should read ""daily programmable"",  but for a retired person like me, it's perfect. The controls are very intuitive and ingenious in their simplicity. Set it and forget it, unless you want to alter the temperature for an indefinite time period, then just adjust the temperature on the display to the desired target temperature and press the ""hold"" button. To revert to the original program, simply press the ""run"" button. This review would have earned five stars had the thermostat come with any wiring instructions whatsoever. The adequate operating manual talks about programming only. I believe the only other instructions said to hook it up according to the color codes used for your previous thermostat, which is ludicrous. Mine is a two wire heat only system and there was nothing I could do but surf the internet for wiring color code conventions and verify I had the right connection terminals with an Ohm meter. Not a big inconvenience given the low price, but still, shame on you Honeywell!","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Five Stars","Caroline","12-12-2017","Package Quantity: 1|Verified Purchase","It?ôs great simple easy to install and use.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Good, inexpensive digital thermostat","Dr. Von Uupsdeschpluugin","6-12-2014","Package Quantity: 1|Verified Purchase","If you're like me and just want a good quality digital thermostat with one set of programs.......This does the job.  If you want a thermostat with different programs for different days, or a thermostat that you can control with your phone, or a thermostat that is also a waffle maker......This one won't work.  It's good quality, stupid easy to install, and even my lovely wife can figure out how to work it.  Perfect!","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Easy","Samantha Albach","5-16-2017","Package Quantity: 1|Verified Purchase","Super easy to install and use.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","So far so good!","Megan Tillmann","1-15-2017","Package Quantity: 1|Verified Purchase","Replaced my older similar Honeywell thermostat that was no longer working properly. So far this has been working flawlessly, and I'm thinking saving me some real $ for sure.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Good value and easy to install.","Allen Porter","12-17-2014","Package Quantity: 1|Verified Purchase","It is easy to install if you carefully follow wiring instructions. Instruction book is clearly written and guides you to the correct set up for your heating system. 40% lower price than Home Depot.It does not have a week end schedule, so every day period:"" wake, leave, return, sleep"" is the same and you can select the time and temperature for each period.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Works great, easy install.","Richard P. Almquist","3-3-2016","Package Quantity: 1|Verified Purchase","Works great for us. Being retired, all week schedule fits ours. Only furnace, so easy install with holes matching former unit.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"3.0 out of 5 stars","1-Week Programmable is a lie","Stlinz","11-2-2014","Package Quantity: 1|Verified Purchase","Description mentioned as 1 week programmable, however what has been delivered to me is having only one program which runs all day. So the one week program mentioned in the description is a lie. I am happy with the performance of the product except for the programing part.","Honeywell_RTH221B1021","2018-01-31","yes",NA,3
"2.0 out of 5 stars","Two Stars","Carrie","12-1-2017","Package Quantity: 1|Verified Purchase","i knew this was basic but no light is really a bummer","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"3.0 out of 5 stars","Not as advertised.","Ken H","2-7-2017","Package Quantity: 1|Verified Purchase","This is a nice little thermostat, however, it DOES NOT HAVE SEVEN DAY PROGRAMMING.  There is only a one-day program available. (Wake-up, leave, return, sleep.)","Honeywell_RTH221B1021","2018-01-31","yes",NA,3
"5.0 out of 5 stars","Five Stars","Kenneth B. Rodriguez","1-9-2018","Package Quantity: 1|Verified Purchase","Simplest thermostat we have ever installed.The locking devise made it child-proof","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","This thing works great! Holds a steady temp","Carla C.","2-13-2017","Package Quantity: 1|Verified Purchase","This thing works great! Holds a steady temp, which my old one did not. Programming was pretty easy, as well. Also, I was amazed at how easy it was to install.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","Chris Hodges","2-4-2015","Package Quantity: 1|Verified Purchase","Instructions could have been better works very well","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","This thermostat installed easily and works fine and the price is great but ...","ak2012","4-4-2015","Package Quantity: 1|Verified Purchase","This thermostat installed easily and works fine and the price is great but it is a one day program thermostat which works well in my basement. I keep it lower and if I am going to be down there a simple push of the button and I set it were I want it. If I forget to turn it down it will reset at the next programmed time.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Recommend this to others","ComputerT","1-6-2017","Package Quantity: 1|Verified Purchase","Recommend this to others. Works well and easy to use.  Only thing I messed up on was that there is no back light. Tough for these old eyes to see day or night.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"4.0 out of 5 stars","AN OK PRODUCT","Older Critic","9-17-2014","Package Quantity: 1|Verified Purchase","This has worked well, after some confusing tryes at setting it up.The instructions are not clear.I think there are four time zones which can be changed.All days are the same.It takes some fumbling around to set what you want.The tools a there, just plan what your cooling or heating needs are.And be prepared to change in the winter.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Five Stars","Amazon Customer","10-8-2017","Package Quantity: 1|Verified Purchase","Simple to install haven't tried successfully to program yet ' - too confusing fir me","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"2.0 out of 5 stars","Two Stars","keith","1-17-2018","Package Quantity: 1|Verified Purchase","Screen is way too SMALL.","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"5.0 out of 5 stars","The Heat is ON","Angela K.","12-23-2016","Package Quantity: 1|Verified Purchase","I like the timer the heat is on when I wake up!  No more cold mornings getting out of bed.  Now Dad wants one so he can please Mom and it is on order.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Great. Simple","Scott Corrigan","1-23-2017","Package Quantity: 1|Verified Purchase","Great. Simple. Super affordable. But you must the day parts if you want to save heating costs (it default to 70 degrees). Also no back light.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Was happy with my purchase","Jo McGee","1-19-2018","Package Quantity: 1|Verified Purchase","Was happy with my purchase. It?ôs is working great and was less than purchasing it frm a retail store. Very happy","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Easy to install even easier to use.","Joanne M.","12-1-2016","Package Quantity: 1|Verified Purchase","I am only using for oil fired heating. Easy to install even easier to use.. Great product for the price have 3 of them for different zones in the house.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"4.0 out of 5 stars","Pretty easy to install and program","DebV","4-3-2015","Package Quantity: 1|Verified Purchase","This was pretty easy to install and I'm inexperienced at DIY stuff. Works well, maintains the temperature where it's set. I appreciate that it's programmable and I don't have to remember to turn the heat up and down. Only issue is it didn't change with daylight savings time. I had to do that manually.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"3.0 out of 5 stars","Three Stars","cpacc","12-6-2014","Package Quantity: 1|Verified Purchase","the cheapest Honeywell but works for my needs one program for 7 days but 4 programs in a day.","Honeywell_RTH221B1021","2018-01-31","yes",NA,3
"5.0 out of 5 stars","Installed in minutes and super easy to use","Angela Johnson","3-26-2016","Package Quantity: 1|Verified Purchase","Installed in minutes and super easy to use. Our old thermostat had a humming noise -- boy was I super happy to get rid of that irritating sound! Highly recommend -- we LOVE the energy saving ""sleep"" mode!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","love","Tc03","6-21-2013","Package Quantity: 1|Verified Purchase","Love it. Works great. Programmed it for daily use but also can easily change temp without having to reset pre programmed settings. Great buy.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","Paul Robi","4-29-2016","Package Quantity: 1|Verified Purchase","What I like the house temp is more stable. It does not fluctuate much.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","It really WAS easy to install and works great","Ben Kendrick","2-26-2016","Package Quantity: 1|Verified Purchase","only problem is I should've gotten it sooner.  It really WAS easy to install and works great.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Mike Sexton","8-6-2017","Package Quantity: 1|Verified Purchase","Simple, Straightforward instructions. Installed in 10 minutes.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","""Week Programmable"" was a bit deceiving","Amazon Customer","9-30-2013","Package Quantity: 1|Verified Purchase","Bought this with intentions of energy savings. I just installed in, was easy enough. However, I thought this product was able to set individual days,I'm a student so my schedule varys by the day. In fact the manual even says how to set the days. After going onto read more reviews and going onto the Honeywell site, well you can ONLY program 4 times in, not individual days. Disappointed for sure, but I don't want to hassle with uninstalling and returning.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"2.0 out of 5 stars","No backlight. Totally a necessary feature.","PegO","1-9-2017","Package Quantity: 1|Verified Purchase","Wouldn't here a schedule and wasn't backlit. Didn't realize how important that feature was. Returned and ordered a different unit.","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"2.0 out of 5 stars","Two Stars","Kathleen C Willis","1-10-2018","Package Quantity: 1|Verified Purchase","This model is much harder to program than other Honeywell thermostats I have used.","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"1.0 out of 5 stars","Thermometer off by 3 degrees","Dan  A","1-25-2018","Package Quantity: 1|Verified Purchase","Thermometer off by 3 degrees","Honeywell_RTH221B1021","2018-01-31","yes",NA,1
"5.0 out of 5 stars","Does the job! Shuts my space down every night ...","HeadsUp","1-1-2017","Package Quantity: 1|Verified Purchase","Does the job!  Shuts my space down every night and gets it warm again before I need it in the morning.... Simple and effective...","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Pretty easy to connect","Rossanna Tavares","4-14-2016","Package Quantity: 1|Verified Purchase","Used it in our travel trailer as the original one started giving problems. Pretty easy to connect, only 2 wires!  Setting up the temperatures was probably more time consuming than connection!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Great programmable thermostat","Ilene Rachel","2-21-2017","Package Quantity: 1|Verified Purchase","Ordered this as a replacement for one I've had for a while that conked out. It works great. Easy to connect and program.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","No problem","billfish","2-7-2016","Package Quantity: 1|Verified Purchase","Easy to install, easy to set, good instructions. I think it's already saving me money by turning the heat down at night when I forget. Note that this model does not have separate day or weekend settings.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Easy install","Amazon Customer","11-29-2016","Package Quantity: 1|Verified Purchase","Easy to install, good quality. We got these for radiant heating 2 zones. Make sure you check what wires you have before purchasing.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","easy to install","Amazon Customer","7-4-2017","Package Quantity: 1|Verified Purchase","Does the job, very accurate, easy to install.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Simple, Easy to install. Easy setup.","Banora","11-25-2015","Package Quantity: 1|Verified Purchase","Easy install. Came with cable marking stickers. Wakes me up with heat and welcomes me home with heat. Never forget to turn down the heat/ac when you leave for work again wasting money on a bill. Simple simple simple.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Amazon Customer","12-24-2017","Package Quantity: 1|Verified Purchase","Super easy to program and install. Exactly what I wanted.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Eric Roseman","1-3-2018","Package Quantity: 1|Verified Purchase","Easy to install, works great!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"2.0 out of 5 stars","Connection slots too small to fit the wires from the wall.","zz","3-17-2016","Package Quantity: 1|Verified Purchase","Didn't work for mine outlet. Couldn't figure out which wires in the wall goes to where on the control.The slots in the thermostat are too small to fit my thick wires from the wall.","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"5.0 out of 5 stars","Highly Recommend Works Great","Stephen Lochmiller","5-28-2016","Package Quantity: 1|Verified Purchase","Great product. Easy to follow instructions and easy installation. Comes with handy stickers to stick on wires so you don't mess up getting wires on wrong connectors.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"3.0 out of 5 stars","You get what you pay for","STHO","1-29-2016","Package Quantity: 1|Verified Purchase","Very difficult to program.  I bought this so I would not have to remember to turn down the heat at night, but I have quit attempting to program it and just turn it off at night ---if I remember","Honeywell_RTH221B1021","2018-01-31","yes",NA,3
"5.0 out of 5 stars","Easy to install and works great, plenty of youtube videos to help you install as well","Shlean","6-15-2015","Package Quantity: 1|Verified Purchase","Installed it myself in about 10 minutes and its working great so far.  It takes 2 AAA batteries.  I have no experience with electrical installations of any kind and I avoid anything that can shock me generally.  This is easy and anyone can do it.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Christy Gillenwater","7-20-2016","Package Quantity: 1|Verified Purchase","Perfect replacement!!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"3.0 out of 5 stars","Not exactly as advertised.","Bob","6-16-2014","Package Quantity: 1|Verified Purchase","Not a 7 day thermostat. It is the same program every day. No weekend setting and you can't even set the date. No backlight. Easy to install but not really user friendly. Hard to get apart to put batteries in. A special cover is desirable for the batteries without having to take the whole unit off the wall for a battery change.","Honeywell_RTH221B1021","2018-01-31","yes",NA,3
"5.0 out of 5 stars",". It came right on time.","Christopher","6-25-2017","Package Quantity: 1|Verified Purchase","Very happy, thank you. It came right on time.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Miguel H.","2-4-2017","Package Quantity: 1|Verified Purchase","it works really good, one time setup keeps my house warm at all times, specially helpful in winter.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Works, but buy the back light model.","S.C.","9-17-2014","Package Quantity: 1|Verified Purchase","Works. Is not the backlight model. Usually these are in a corner or hallway, will need home lights on to see! Hard to see at night.  But works as advertised. Next model up as of post was only 5 to 6 dollars more.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Nicely priced update for an old thermostat","Tom C. 2013","11-6-2015","Package Quantity: 1|Verified Purchase","Nicely priced update for an old thermostat. Easy to install. Customer support is difficult to understand once you get them. On the second call I got someone I could converse with. I'm happy with the item.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Awesome!!","texas_g","12-7-2016","Package Quantity: 1|Verified Purchase","Love!!! Shipped fast! Easy installation! Switched from an old mercury thermostat and installing was a breeze'","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"2.0 out of 5 stars","Ehhhh","Jim","1-9-2015","Package Quantity: 1|Verified Purchase","Don't know..  I am struggling with mine..  I have it set to lower the heat at night but seems that it doesn't.  I verified settings several times and still am always manually adjusting..Not too happy but since already installed and mounted, will not return them.","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"5.0 out of 5 stars","Great Price","Tom Dillon","2-23-2017","Package Quantity: 1|Verified Purchase","This is great, I bought one from the local natural gas company and it was 5 times more expensive.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Amazon Customer","8-15-2017","Package Quantity: 1|Verified Purchase","Simple install (be sure to have a small regular screwdriver on hand!) and works as advertised.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Works great to turn down heat when no one is there","Sarena Hanson","12-1-2016","Package Quantity: 1|Verified Purchase","Bought for a business. Locked in a thermostat guard. Works great to turn down heat when no one is there.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","I am glad to finally be able to set an accurate temperature ...","Felix M. Negron","10-11-2016","Package Quantity: 1|Verified Purchase","I am glad to finally be able to set an accurate temperature instead of just sliding a lever and hoping for the best.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Money Saver","Janet M.","8-15-2016","Package Quantity: 1|Verified Purchase","Very convenient and saves money, too.  Good for working families who are not at home all day.  Heat can be turned down when gone.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Easy to use","H. Collins","11-4-2016","Package Quantity: 1|Verified Purchase","Great for the price. This thermostat works as expected, and you can't beat the price. It's simple, no frills.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","... thermostat a couple months now and the simplicity is perfect for my use","John","2-17-2017","Package Quantity: 1|Verified Purchase","I've had this thermostat a couple months now and the simplicity is perfect for my use.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","Danielle B.","1-26-2017","Package Quantity: 1|Verified Purchase","Good basic thermostat. Nothing spectacular, but it's cheap and does what you need.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Great Unit","Oh What a feeling!","2-25-2016","Package Quantity: 1|Verified Purchase","I really love this, it was easy to install replacing my 1950's sears Thermostat that used only two wires, with this Programmable one with my old two wire system.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Good product for the money","Nicole M.","10-17-2017","Package Quantity: 1|Verified Purchase","Item as described and installed easily!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Easy to install, easy to program","Dave in Montana","1-19-2016","Package Quantity: 1|Verified Purchase","Wanted to replace the thermostat we had, which required programming weekdays and weekends, with one that treated everyday as the same, which is perfect for the retiree.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","It works for us","Sadie T.","4-29-2015","Package Quantity: 1|Verified Purchase","This thermostat is very accurate and it's easy to read. When you change the temperature setting it moves very quickly but, once you get used to it, it's not a problem. We are home all the time so we have not tried to program it.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Amazon Customer","8-18-2017","Package Quantity: 1|Verified Purchase","Only the cool has been set and it is working well.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Excelente","Amazon Customer","10-30-2017","Package Quantity: 1|Verified Purchase","Excelente","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","Stephanie M.","11-27-2016","Package Quantity: 1|Verified Purchase","I like Honeywell. Solid products and used this one to replace smart thermo when I moved:-)","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Five Stars","Mell Chicazola","7-20-2017","Package Quantity: 1|Verified Purchase","Easy to use, and easy to install.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Just as advertised","Winston T.","5-31-2014","Package Quantity: 1|Verified Purchase","easy to install, works as it state that it would.It has a time schedule, which I like, to have temperatures adjust at well a certain time.During the winter I would set it to heat up the house about 30 mins before I get home from work, so when I enter it would be nice and toasty.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","We used it for the firs time last week in the mountains of Vermont and it worked great.","Winch","9-10-2015","Package Quantity: 1|Verified Purchase","This replaced the original thermostat in our RV, which had no digital readout and was not programmable.  We used it for the firs time last week in the mountains of Vermont and it worked great.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Lynn Ebbesen","2-27-2016","Package Quantity: 1|Verified Purchase","Easy to use programmable thermostat","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Works for me.","Amy L. Glines","1-28-2016","Package Quantity: 1|Verified Purchase","Does its job and does it well.  Installation and programming are simple if you read the directions carefully and ensure that you have the proper tools on hand.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Great for the price","David","1-12-2018","Package Quantity: 1|Verified Purchase","Wanted a cheap easy to use thermostat this is exactly that.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Found out the furnace had a bad part. The magnet that releases the spring that ...","Art","1-3-2015","Package Quantity: 1|Verified Purchase","Bought to replace the existing 7 day thermostat. Found out the furnace had a bad part. The magnet that releases the spring that lets the shut off valve close when the furnace shuts down. It stops the spray nozzle from dripping after shutting down.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Four Stars","Ra","2-6-2017","Package Quantity: 1|Verified Purchase","Works great. Wish it was back lit, but for the price it's hard to beat.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"4.0 out of 5 stars","Easy to install","Carlos Martin","12-28-2015","Package Quantity: 1|Verified Purchase","Easy to install. I know it is clear on the specs that this is only 1 week programmable, but i miss the option to set up a different timing for each day of the week","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Really Glad I Upgraded","TruthSeeker","2-25-2015","Package Quantity: 1|Verified Purchase","Definite improvement on the cheaper one it replaced. Seems like it is using less power to keep the house just as warm/cool as in the past.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"2.0 out of 5 stars","It was very hard to program and when I set ...","sandra c winter","12-6-2014","Package Quantity: 1|Verified Purchase","It was very hard to program and when I set the sleep time and temperature at 11:00 PM and temperature at 10 degrees lower than day time heater came on at 11:45 I was already in bed and had to get up to shut it off. I figured you get what you pay for.","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"5.0 out of 5 stars","Five Stars","Stefani P.","9-27-2017","Package Quantity: 1|Verified Purchase","Great product and super fast shipping! Thanx so much!!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Easy to install","Julie","2-21-2014","Package Quantity: 1|Verified Purchase","Needed a new thermostat for a condo I rent out.  This one is simple, no frills but does the job.  The piece that you use to turn on is a little small and light weight so if you have big fingers that might be a problem.  Other then that it's ok, I saw the very same product at Walmart for $40.00, that's crazy!","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Quick Control and a Super Easy to Install !","SoCal AC","4-7-2015","Package Quantity: 1|Verified Purchase","Ridiculously easy to install and program, 10 minutes and two wires connected, job done.Nice price, good quality, only one regret, should have a few more bucks for the lighted one.Doh, I'm such a cheap skate!","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Easy to set up - save moiney use these!","AKTREKER","12-22-2013","Package Quantity: 1|Verified Purchase","Has 4 timer settings.  I use it to turn the temp down when I leave (one) turn up just before I get home (two) Turn heat down when I go to bed (three) and turn the heat up before I awake (four)You don't need a fancy unit if all you have are need like I describe.  And the price beats any local seller I know.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"4.0 out of 5 stars","Works great","Jorge Castillo","4-8-2016","Package Quantity: 1|Verified Purchase","Got this to replace the older non digital one, works great only down side is replacement of the batteries and re programming the unit.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"2.0 out of 5 stars","Two Stars","Amazon Customer","1-15-2017","Package Quantity: 1|Verified Purchase","Can take get it from Celsius to Fahrenheit.  Difficult to program","Honeywell_RTH221B1021","2018-01-31","yes",NA,2
"4.0 out of 5 stars","... a few days ago & so far am completely satisfied; has more better temp 'sensitivity' than that Hunter ...","LSUcajun","10-16-2014","Package Quantity: 1|Verified Purchase","Installed a few days ago & so far am completely satisfied; has more better temp 'sensitivity' than that Hunter brand was using before this Honeywell; only drawback might be Display's Icons/Letterings are on the small size & have to use my glasses to see.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"4.0 out of 5 stars","Four Stars","Ben Ardoin","11-18-2016","Package Quantity: 1|Verified Purchase","This is a very versatile and high quality product with clear DIY instructions.","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"4.0 out of 5 stars","Nice unit","A. Leonard","12-5-2016","Package Quantity: 1|Verified Purchase","Simple, easy to use, no frills and inexpensive. Easy to hook up, too!","Honeywell_RTH221B1021","2018-01-31","yes",NA,4
"5.0 out of 5 stars","Great value!","E. Miller","1-15-2016","Package Quantity: 1|Verified Purchase","Easy to install.  Great value for the price.  I upgraded to this from my old analog unit in our lower level.  It was perfect for what we needed.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Jessica Cook","3-3-2016","Package Quantity: 1|Verified Purchase","Eady to install","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","I bought this product 2 months ago. Cheap thermostat ...","Teodoro K. Sanchez","12-6-2014","Package Quantity: 1|Verified Purchase","I bought this product 2 months ago. Cheap thermostat what works as described, took me 15 minutes to replace defective one with this one and most of this time I spent it programming it. I'm not expecting any problems from this product","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Five Stars","Johnny","8-7-2017","Package Quantity: 1|Verified Purchase","works fine.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","Works Great","Pete Evans","10-9-2017","Package Quantity: 1|Verified Purchase","Works Great easy to install","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
"5.0 out of 5 stars","easy set up","m_toyman","3-8-2016","Package Quantity: 1|Verified Purchase","I have hot water base board oil fired heat.  No AC.  Still use this unit and controls heat well with a few settings within day.","Honeywell_RTH221B1021","2018-01-31","yes",NA,5
